PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 8, 15, 7], [9, 2, 10, 3], [11, 19, 12, 18], [13, 20, 14, 21], [6, 16, 7, 15], [17, 22, 18, 23], [19, 1, 20, 24], [21, 16, 22, 17], [23, 12, 24, 13]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 14, 8, 15], [9, 2, 10, 3], [18, 11, 19, 12], [20, 14, 21, 13], [15, 6, 16, 7], [22, 18, 23, 17], [24, 19, 1, 20], [16, 22, 17, 21], [12, 24, 13, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 7, 15, 8], [9, 2, 10, 3], [20, 11, 21, 12], [6, 13, 7, 14], [22, 16, 23, 15], [24, 18, 1, 17], [12, 19, 13, 20], [18, 22, 19, 21], [16, 24, 17, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 7, 15, 8], [9, 2, 10, 3], [20, 11, 21, 12], [6, 13, 7, 14], [24, 16, 1, 15], [22, 18, 23, 17], [12, 19, 13, 20], [18, 22, 19, 21], [16, 24, 17, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 8, 15, 7], [9, 2, 10, 3], [20, 12, 21, 11], [18, 13, 19, 14], [6, 16, 7, 15], [22, 17, 23, 18], [24, 20, 1, 19], [16, 21, 17, 22], [12, 24, 13, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 8, 15, 7], [9, 2, 10, 3], [11, 20, 12, 21], [13, 19, 14, 18], [6, 16, 7, 15], [17, 23, 18, 22], [19, 24, 20, 1], [21, 17, 22, 16], [23, 12, 24, 13]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 14, 8, 15], [9, 2, 10, 3], [20, 12, 21, 11], [18, 13, 19, 14], [15, 6, 16, 7], [22, 17, 23, 18], [24, 20, 1, 19], [16, 21, 17, 22], [12, 24, 13, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 8, 15, 7], [9, 2, 10, 3], [20, 12, 21, 11], [22, 13, 23, 14], [6, 16, 7, 15], [12, 18, 13, 17], [24, 20, 1, 19], [16, 21, 17, 22], [18, 24, 19, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 8, 15, 7], [9, 2, 10, 3], [11, 20, 12, 21], [13, 23, 14, 22], [6, 16, 7, 15], [17, 12, 18, 13], [19, 24, 20, 1], [21, 17, 22, 16], [23, 18, 24, 19]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 14, 8, 15], [9, 2, 10, 3], [20, 12, 21, 11], [22, 13, 23, 14], [15, 6, 16, 7], [12, 18, 13, 17], [24, 20, 1, 19], [16, 21, 17, 22], [18, 24, 19, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 8, 15, 7], [9, 2, 10, 3], [22, 11, 23, 12], [20, 14, 21, 13], [6, 16, 7, 15], [12, 18, 13, 17], [24, 19, 1, 20], [16, 22, 17, 21], [18, 23, 19, 24]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 8, 15, 7], [9, 2, 10, 3], [11, 23, 12, 22], [13, 20, 14, 21], [6, 16, 7, 15], [17, 12, 18, 13], [19, 1, 20, 24], [21, 16, 22, 17], [23, 19, 24, 18]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 14, 8, 15], [9, 2, 10, 3], [22, 11, 23, 12], [20, 14, 21, 13], [15, 6, 16, 7], [12, 18, 13, 17], [24, 19, 1, 20], [16, 22, 17, 21], [18, 23, 19, 24]]
